img_src,name,capacity,price/GB,type,cache,form_factor,interface,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/33047df923592f0f8f135de206574941.256p.jpg,Crucial MX500,4 TB,0.086,SSD,,"2.5""",SATA 6.0 Gb/s,343.9,https://es.pcpartpicker.com/product/p7nypg/crucial-mx500-4-tb-25-solid-state-drive-ct4000mx500ssd1,2,5
https://images-na.ssl-images-amazon.com/images/I/314uNM1nPJL.jpg,Intel 530,180 GB,1.9,SSD,,"2.5""",SATA 6.0 Gb/s,341.98,https://es.pcpartpicker.com/product/pZ6BD3/intel-internal-hard-drive-ssdsc2bw180a4k5,3,4.7
https://m.media-amazon.com/images/I/51tQAlAPT+L.jpg,Western Digital Black,4 TB,0.085,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,340,https://es.pcpartpicker.com/product/9BkD4D/western-digital-internal-hard-drive-wd4001faex,15,4.6
https://m.media-amazon.com/images/I/41V9xc4+3-L.jpg,Western Digital DC HC530,14 TB,0.024,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,337.02,https://es.pcpartpicker.com/product/7ML48d/western-digital-hgst-dc-hc530-14-tb-35-7200rpm-internal-hard-drive-wuh721414ale6l4,1,5
//cdna.pcpartpicker.com/static/forever/images/product/2ccd93e659b06e8eceb633822da0c606.256p.jpg,Corsair MP600 Force Series Gen4,2 TB,0.167,SSD,,M.2,M.2 PCIe 3.0 X4,334.23,https://es.pcpartpicker.com/product/qCmFf7/corsair-mp600-force-series-gen4-2-tb-m2-2280-solid-state-drive-cssd-f2000gbmp600,18,4.8
https://m.media-amazon.com/images/I/31t+qOiVKhL.jpg,Seagate 600,480 GB,0.694,SSD,,"2.5""",SATA 6.0 Gb/s,333,https://es.pcpartpicker.com/product/dwxfrH/seagate-internal-hard-drive-st480hm000,2,5
//cdna.pcpartpicker.com/static/forever/images/product/b385266abae2573e30c427ae6bf1875e.256p.jpg,Western Digital Red Pro,10 TB,0.033,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,331.9,https://es.pcpartpicker.com/product/vVCFf7/western-digital-red-pro-10-tb-35-7200rpm-internal-hard-drive-wd102kfbx,1,5
//cdna.pcpartpicker.com/static/forever/images/product/47d27d228a730337cb5b17a0ca22d291.256p.jpg,Seagate BarraCuda Pro,10 TB,0.033,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,330.97,https://es.pcpartpicker.com/product/jwGxFT/seagate-barracuda-pro-10-tb-35-7200rpm-internal-hard-drive-st10000dm001,1,4
//cdna.pcpartpicker.com/static/forever/images/product/36dc37a5be4753cebbbbbac59ed760f8.256p.jpg,Western Digital Purple,8 TB,0.041,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,324.77,https://es.pcpartpicker.com/product/Vy448d/western-digital-purple-8tb-35-5400rpm-internal-hard-drive-wd80purz,1,3
//cdna.pcpartpicker.com/static/forever/images/product/0bcda83aa0d631c40ee2b5ef727d5644.256p.jpg,Western Digital Red Plus,12 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,320.05,https://es.pcpartpicker.com/product/CK2WGX/western-digital-wd-red-plus-12-tb-35-7200rpm-internal-hard-drive-wd120efbx,1,5
//cdna.pcpartpicker.com/static/forever/images/product/4dfe9f402d344d460b4917dc638087d7.256p.jpg,Corsair MP600 CORE,2 TB,0.16,SSD,,M.2,M.2 PCIe 4.0 X4,319.99,https://es.pcpartpicker.com/product/7pjNnQ/corsair-mp600-core-2-tb-m2-2280-nvme-solid-state-drive-cssd-f2000gbmp600cor,1,5
//cdna.pcpartpicker.com/static/forever/images/product/d85714ee933279eb3a5f80d43b95dcb3.256p.jpg,Western Digital WD_BLACK,6 TB,0.052,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,314,https://es.pcpartpicker.com/product/JWm323/western-digital-wd_black-6-tb-35-7200rpm-internal-hard-drive-wd6003fzbx,22,4.8
//cdna.pcpartpicker.com/static/forever/images/product/48b1e1eed361bc76beedeb4c227d7630.256p.jpg,Crucial P1,2 TB,0.156,SSD,,M.2,M.2 PCIe 3.0 X4,312.99,https://es.pcpartpicker.com/product/bNjNnQ/crucial-p1-2-tb-m2-2280-nvme-solid-state-drive-ct2000p1ssd8,3,4.7
https://m.media-amazon.com/images/I/51no0rwieZL.jpg,Seagate BarraCuda,750 GB,0.415,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,311.39,https://es.pcpartpicker.com/product/gXw323/seagate-internal-hard-drive-st3750525as,7,3.9
https://images-na.ssl-images-amazon.com/images/I/51bHOTtkjJL.jpg,Intel X25-M,80 GB,3.884,SSD,,"2.5""",SATA 3.0 Gb/s,310.68,https://es.pcpartpicker.com/product/3rjG3C/intel-internal-hard-drive-ssdsa2mh080g2k5,2,4.5
